id,name,region,coatOfArms,words 
5e5aef1f8201264f9db85fdf,House Darklyn of Duskendale,The Crownlands,Fusily sable and or upon a pale in dexter gules seven escutcheons argent,
5e5aef1f8201264f9db85fe0,House Darkwood,The Crownlands,,
5e5aef1f8201264f9db85fe1,House Darry of Darry,The Riverlands,A black plowman on a brown field(Tenné a plowman sable),
5e5aef1f8201264f9db85fe2,House Dayne of High Hermitage,Dorne,,
5e5aef1f8201264f9db85fe3,House Dayne of Starfall,Dorne,A white sword and falling star crossed on lilac (Purpure a blazing star bendways surmounted by a sword bendways sinister argent),
5e5aef1f8201264f9db85fe4,House Deddings,The Riverlands,,
5e5aef1f8201264f9db85fe5,House Doggett,The Westerlands,Per bend a white unicorn on a green field a black raven on a white field(Per bend vert and argent in sinister chief a unicorn rampant of the second and in dexter base a raven closed sable),
5e5aef1f8201264f9db85fe6,House Dondarrion of Blackhaven,The Stormlands,A forked purple lightning bolt on black field speckled with four-pointed stars(Sable semé of mullets of four points argent a lightning bolt forked purpure),
5e5aef1f8201264f9db85fe7,House Donniger,The Vale,A red sun rising from a grey-green sea against a yellow sky(Per fesse wavy or and vert-cendrée a demi-sun-in-splendour issuant from the line of division gules),
5e5aef1f8201264f9db85fe8,House Drinkwater,Dorne,,
5e5aef1f8201264f9db85fe9,House Drox,The Westerlands,Three black crossbows on a gold field with a black border(Or three crossbows within a bordure sable),
5e5aef1f8201264f9db85fea,House Drumm of Old Wyk,Iron Islands,Gules a bone hand argent,
5e5aef1f8201264f9db85feb,House Dryland,Dorne,,
5e5aef1f8201264f9db85fec,House Dunn,The Reach,per pale black and pink a countercharged two-headed pelican,
5e5aef1f8201264f9db85fed,House Durrandon,The Stormlands,A black crowned stag on a gold field(Or a stag salient crowned sable),Ours is the Fury
5e5aef1f8201264f9db85fee,House Durwell,The Reach,,
5e5aef1f8201264f9db85fef,House Dustin of Barrowton,The North,Two rusted longaxes with black shafts crossed a black crown between their points on yellow,
5e5aef1f8201264f9db85ff0,House Edgerton,The Crownlands,Purpure a wheel flaming tenny quartered with half-fusilly sable and argent,
5e5aef1f8201264f9db85ff1,House Egen,The Vale,A yellow sun white crescent moon and silver star on a blue chief above a white field(Argent on a chief azure a moon increscent of the first between a sun-in-splendour or and a mullet of the first),By Day or Night
5e5aef1f8201264f9db85ff2,House Elesham of the Paps,The Vale,A black star between an inverted stone-coloured double-pile on a pink field(Carnation a mullet sable between two piles issuant from base cendrée),
5e5aef1f8201264f9db85ff3,House Erenford,The Riverlands,A golden heron beak and legs black standing with a silver fish in its beak on a pink field(Carnation a heron or beaked and membered sable clasped in its mouth a fish argent),
5e5aef1f8201264f9db85ff4,House Errol of Haystack Hall,The Stormlands,A yellow haystack on an orange field(Tenné a haystack or),
5e5aef1f8201264f9db85ff5,House Estermont of Greenstone,The Stormlands,A dark-green sea-turtle on a pale-green field(Vert a sea-turtle tergiant of the field),
5e5aef1f8201264f9db85ff6,House Estren of Wyndhall,The Westerlands,A green saltire between four red double-headed eagles on a white field(Argent a saltire vert between four double-headed eagles displayed gules),
5e5aef1f8201264f9db85ff7,House Falwell,The Westerlands,A fool in red and gold motley juggling five suns on a black field(Sable a fool proper clothed in motley gules and or juggling five suns-in-splendour of the last),
5e5aef1f8201264f9db85ff8,House Farman of Faircastle,The Westerlands,Three silver ships on a blue field with a border of crimson and gold(Azure three galleys argent within a bordure compony gules and or),
5e5aef1f8201264f9db85ff9,House Farring,The Crownlands,Per pale purpure and argent two knights combatant crossing swords counterchanged,
5e5aef1f8201264f9db85ffa,House Farwynd of Sealskin Point,Iron Islands,,
5e5aef1f8201264f9db85ffb,House Farwynd of the Lonely Light,Iron Islands,Per fess wavy tenny and sable a demi-torteaux gules issuant from the division surmounted by a longship sailing upon the division of the second,
5e5aef1f8201264f9db85ffc,House Fell of Felwood,The Stormlands,Per fess a white crescent moon on a black field above a green field a sprucetree line between(Per fess sapinagé vert and sable in dexter chief a moon increscent argent),
5e5aef1f8201264f9db85ffd,House Fenn,The Neck,Purpure three water lilies sable,
5e5aef1f8201264f9db85ffe,House Ferren,The Westerlands,Per saltire checkered red and gold a silver and black ferret on a green field(Per saltire chequy gules and or and vert in each flank point a ferret argent and sable),
5e5aef1f8201264f9db85fff,House Fisher,The Riverlands,A crowned catfish spotted grey on a blue field(Azure a catfish cendrée crowned or),
5e5aef1f8201264f9db86000,House Fisher of the Stony Shore,The North,,
5e5aef1f8201264f9db86001,House Flint  of the mountains,The North,,
5e5aef1f8201264f9db86002,House Flint of Breakstone Hill,The North,,
5e5aef1f8201264f9db86003,House Flint of Flint's Finger,The North,Paly sable and cendrée on a pall inverted argent a hand couped of the second,
5e5aef1f8201264f9db86004,House Flint of Widow's Watch,The North,Azure semy of whitecaps argent on a chief wavy Or two eyes of the second irised of the first and pupiled sable,Ever Vigilant
5e5aef1f8201264f9db86005,House Florent of Brightwater Keep,The Reach,A red fox in a circle of blue flowers on ermine,
5e5aef1f8201264f9db86006,House Follard,The Crownlands,Gyronny gules and argent on a canton Or a fool's cap two peaked of the first and second,None so Wise
5e5aef1f8201264f9db86007,House Foote,The Westerlands,A copper dagger across a black chevron on a white field(Argent a chevron reversed sable surmounted by a dagger erect tenné),
5e5aef1f8201264f9db86008,House Foote of Nightsong,The Stormlands,,
5e5aef1f8201264f9db86009,House Footly of Tumbleton,The Reach,a field of silver caltrops on black,Tread Lightly Here
5e5aef1f8201264f9db8600a,House Forrester,The North,an ironwood tree outline with a sword outline drawn inside it pointing down. (Telltale),Iron from Ice (Telltale)
5e5aef1f8201264f9db8600b,House Fossoway of Cider Hall,The Reach,Or an apple gules,Taste of Glory
5e5aef1f8201264f9db8600c,House Fossoway of New Barrel,The Reach,Or an apple vert,
5e5aef1f8201264f9db8600d,House Fowler of Skyreach,Dorne,Argent a hooded hawk trussed azure,Let Me Soar
5e5aef1f8201264f9db8600e,House Frey of Riverrun,The Riverlands,,
5e5aef1f8201264f9db8600f,House Frey of the Crossing,The Riverlands,Two blue towers united by a bridge on a silver-grey field(Cendrée a bridge azure at either end a tower of the same),
5e5aef1f8201264f9db86010,House Frost,The North,,
5e5aef1f8201264f9db86011,House Gardener of Highgarden,The Reach,Argent a hand couped vert,
5e5aef1f8201264f9db86012,House Gargalen of Salt Shore,Dorne,Or a cockatrice gules in its beak a serpent sable,
5e5aef1f8201264f9db86013,House Garner,The Westerlands,Three grey owls upon white plates on a green field(Vert three plates each charged with an owl close affronté cendrée),
5e5aef1f8201264f9db86014,House Gaunt,The Crownlands,Purpure three lances palewise in fess between two flaunches sable,
5e5aef1f8201264f9db86015,House Glenmore,The North,,
5e5aef1f8201264f9db86016,House Glover of Deepwood Motte,The North,Gules a gauntlet argent,
5e5aef1f8201264f9db86017,House Goodbrook,The Riverlands,A blue wavy bend on a gold field(Or a bend wavy azure),
5e5aef1f8201264f9db86018,House Goodbrother of Corpse Lake,Iron Islands,,
5e5aef1f8201264f9db86019,House Goodbrother of Crow Spike Keep,Iron Islands,,
5e5aef1f8201264f9db8601a,House Goodbrother of Downdelving,Iron Islands,,
5e5aef1f8201264f9db8601b,House Goodbrother of Hammerhorn,Iron Islands,Gules a warhorn sable banded or.,
5e5aef1f8201264f9db8601c,House Goodbrother of Orkmont,Iron Islands,,
5e5aef1f8201264f9db8601d,House Goodbrother of Shatterstone,Iron Islands,,
5e5aef1f8201264f9db8601e,House Gower,The Stormlands,Nine yellow trefoils on a black cross on an ermine field(Ermine on a cross sable nine trefoils or),
5e5aef1f8201264f9db8601f,House Graceford of Holyhall,The Reach,Tenny on a pale wavy argent the Mother's face proper,Work Her Will
5e5aef1f8201264f9db86020,House Grafton of Gulltown,The Vale,A yellow tower burning on a black pile on a flame-red field(Gules on a pile sable a tower or with flames issuant from the battlements proper),
5e5aef1f8201264f9db86021,House Grandison of Grandview,The Stormlands,A black sleeping lion on a yellow field(Or a lion dormant sable),Rouse Me Not
5e5aef1f8201264f9db86022,House Graves,The Reach,Green and white gyronny a double-headed eagle counter-charged gold beak and talons,
5e5aef1f8201264f9db86023,House Greenfield of Greenfield,The Westerlands,A white double-tressure on a green field(Vert a double-tressure argent),
5e5aef1f8201264f9db86024,House Greengood,The Neck,,
5e5aef1f8201264f9db86025,House Greenwood,The North,,
5e5aef1f8201264f9db86026,House Grell,The Riverlands,Three red martlets on a white bend on a blue field(Azure on a bend argent three martlets gules),
5e5aef1f8201264f9db86027,House Grey,The Riverlands,,
5e5aef1f8201264f9db86028,House Greyiron of Orkmont,Iron Islands,The sea king's head white with dark green seaweed beard and hair a black crown on a grey field,
5e5aef1f8201264f9db86029,House Greyjoy of Pyke,Iron Islands,Sable a kraken Or,We Do Not Sow
5e5aef1f8201264f9db8602a,House Greystark of Wolf's Den,The North,,
5e5aef1f8201264f9db8602b,House Grimm of Greyshield,The Reach,An iron escutcheon with silver studs on a grey-green field strewn with longships proper,
5e5aef1f8201264f9db8602c,House Haigh,The Riverlands,A black pitchfork on a gold bend sinister on a russet field(Tenné on a bend sinister or a pitchfork sable),
5e5aef1f8201264f9db8602d,House Hamell,The Westerlands,An erminois maunch on a pink field with an erminois border(Carnation a maunch within a bordure erminois),
5e5aef1f8201264f9db8602e,House Harclay,The North,Azure on a bend argent a hurt between an increscent and decrescent of the first,
5e5aef1f8201264f9db8602f,House Hardy,The Crownlands,,
5e5aef1f8201264f9db86030,House Hardyng,The Vale,A field of red and white diamonds(Lozengy argent and gules),
5e5aef1f8201264f9db86031,House Harlaw of Grey Garden,Iron Islands,Quartered: a silver scythe on black a peacock on cream,
5e5aef1f8201264f9db86032,House Harlaw of Harlaw,Iron Islands,Sable a scythe argent,
5e5aef1f8201264f9db86033,House Harlaw of Harlaw Hall,Iron Islands,Per bend black and silver two scythes counterchanged,
5e5aef1f8201264f9db86034,House Harlaw of Harridan Hill,Iron Islands,the Harlaw scythe on a pale blue field,
5e5aef1f8201264f9db86035,House Harlaw of the Tower of Glimmering,Iron Islands,The Harlaw scythe girdled within an embattled border.,
5e5aef1f8201264f9db86036,House Harlton,The Riverlands,A silver tree on green,
5e5aef1f8201264f9db86037,House Harroway of Harrenhal,The Riverlands,Per bend sinister orange and sable rayonné a castle counterchanged(Per bend sinister rayonné tenné and sable a castle counterchanged),
5e5aef1f8201264f9db86038,House Harte,The Crownlands,Three red hart's heads caboshed on a white bend on vair,
5e5aef1f8201264f9db86039,House Hastwyck,The Reach,Barry olive and ivory,None so Dutiful
5e5aef1f8201264f9db8603a,House Hasty,The Stormlands,A white bend cotised on a purple field(Purpure a bend cotised argent),
5e5aef1f8201264f9db8603b,House Hawick of Saltpans,The Riverlands,White seabirds strewn across a blue field(Azure semé of seabirds argent),
5e5aef1f8201264f9db8603c,House Hawthorne,The Westerlands,A ring of black thorns and a ring of pink flowers interlocked on a green field(Vert two interlocking annulets one composed of thorns sable the other of flowers carnation),
5e5aef1f8201264f9db8603d,House Hayford of Hayford,The Crownlands,Green fretty over gold a green pale wavy,
5e5aef1f8201264f9db8603e,House Heddle,The Riverlands,,
5e5aef1f8201264f9db8603f,House Herston,The Stormlands,A yellow rooster's head with red comb within a white escutcheon on a red field(Gules on an escutcheon argent a cock's head or combed and wattled of the field),
5e5aef1f8201264f9db86040,House Hersy of Newkeep,The Vale,A white winged chalice on a pink field(Carnation a winged cup displayed argent),
5e5aef1f8201264f9db86041,House Hetherspoon,The Westerlands,An oak spoon within a white cartouche on a field of orange and black diamonds(Lozengy tenné and sable on a cartouche argent a spoon or),
5e5aef1f8201264f9db86042,House Hewett of Oakenshield,The Reach,an oaken escutcheon studded with iron on a field bendy of undulating blue and white,
5e5aef1f8201264f9db86043,House Hightower of the Hightower,The Reach,Cendrée a tower argent with a beacon on fire gules,We Light the Way
5e5aef1f8201264f9db86044,House Hoare of Orkmont,Iron Islands,Per saltire two heavy silver chains crossing between a gold longship on a black field a dark green pine on a white field a cluster of red grapes on a gold field and a black raven flying in a blue sky.,
5e5aef1f8201264f9db86045,House Hogg of Sow's Horn,The Crownlands,,
5e5aef1f8201264f9db86046,House Hollard,The Crownlands,Barry gules and carnation a chief azure with three crowns Or,
5e5aef1f8201264f9db86047,House Holt,Dorne,,
5e5aef1f8201264f9db86048,House Holt,The North,,
5e5aef1f8201264f9db86049,House Hook,The Riverlands,,
5e5aef1f8201264f9db8604a,House Hornwood of Hornwood,The North,Tenny a bull moose trippant proper,Righteous in Wrath
5e5aef1f8201264f9db8604b,House Horpe,The Stormlands,Per chevron engrailed grey and bone three death's head moths counterchanged(Per chevron reversed engrailed cendrée and argent three death's head moths counterchanged),
5e5aef1f8201264f9db8604c,House Hull,Dorne,,
5e5aef1f8201264f9db8604d,House Humble,Iron Islands,,
5e5aef1f8201264f9db8604e,House Hunt,The Reach,Argent a deer bound and slung on a pole fesswise tenny,
5e5aef1f8201264f9db8604f,House Hunter of Longbow Hall,The Vale,Five silver arrows fanned on a brown field(Tenné a sheaf of five arrows points to chief argent),
5e5aef1f8201264f9db86050,House Hutcheson,The Reach,Or two bendlets between in base dexter a hand pointing to chief sinister and in chief sinister a sun in splendour gules,
5e5aef1f8201264f9db86051,House Inchfield,The Reach,Cendrée a bend sinister chequy sable and argent,
5e5aef1f8201264f9db86052,House Ironmaker,Iron Islands,,
5e5aef1f8201264f9db86053,House Ironsmith,The North,Or a sword palewise between four horseshoes sable all within a bordure vert,
5e5aef1f8201264f9db86054,House Jast,The Westerlands,An inverted yellow pall between three yellow lions' heads on a black field(Sable a pall reversed between three lions' heads erased or),
5e5aef1f8201264f9db86055,House Jordayne of the Tor,Dorne,Chequy light and dark green a quill or.,Let it be Written
5e5aef1f8201264f9db86056,House Justman,The Riverlands,Golden scales within a blue a double tressure on a white field(Argent a pair of balances or within a double-tressure azure),
5e5aef1f8201264f9db86057,House Karstark of Karhold,The North,Sable a sunburst argent,The Sun of Winter
5e5aef1f8201264f9db86058,House Keath,The Riverlands,Quarterly of nine; a white fish on a grey field; a gold fish hook on a white field(Quarterly of nine first third fifth seventh and ninth cendrée a fish argent; second fourth sixth and eight argent a fish-hook or),
5e5aef1f8201264f9db86059,House Kellington,The Stormlands,A black book bound in bronze locked on a pale blue field(Azure a locked book sable edged and garnished tenné),
5e5aef1f8201264f9db8605a,House Kenning of Harlaw,Iron Islands,Sable issuant from a cloud bank in chief the Storm God's hand cendrée with lightning flashing from its fingertip Or,
5e5aef1f8201264f9db8605b,House Kenning of Kayce,The Westerlands,Four sunbursts counterchanged on a quartered orange and black field(Quarterly tenné and sable four suns-in-splendour counterchanged),
5e5aef1f8201264f9db8605c,House Kettleblack,The Crownlands,Gules a kettle within an orle sable,
5e5aef1f8201264f9db8605d,House Kidwell of Ivy Hall,The Reach,Cendrée masoned sable semy of ivy leaves vert,
5e5aef1f8201264f9db8605e,House Knott,The North,Argent a saltire surmounted by a fret tenny,
5e5aef1f8201264f9db8605f,House Kyndall,The Westerlands,,
5e5aef1f8201264f9db86060,House Ladybright,Dorne,,
5e5aef1f8201264f9db86061,House Lake,Dorne,, 
5e5aef1f8201264f9db86062,House Lake,The North,Tenny seven pommes arranged 2-2-2-1,
5e5aef1f8201264f9db86063,House Langward,The Crownlands,Per fess undy: A crown of white stars on burgundy above black,
5e5aef1f8201264f9db86064,House Lannett,The Westerlands,,
5e5aef1f8201264f9db86065,House Lannister of Casterly Rock,The Westerlands,A gold lion on a crimson field(Gules a lion or),Hear Me Roar!
5e5aef1f8201264f9db86066,House Lannister of Darry,The Riverlands,Quarterly a gold lion on a red field; a black plowman on a brown field(Quarterly first and fourth gules a lion rampant or (for Lannister) second and third tenné a plowman sable (for Darry)),
5e5aef1f8201264f9db86067,House Lannister of Lannisport,The Westerlands,,
5e5aef1f8201264f9db86068,House Lanny,The Westerlands,,
5e5aef1f8201264f9db86069,House Lantell,The Westerlands,,
5e5aef1f8201264f9db8606a,House Lefford of the Golden Tooth,The Westerlands,A golden inverted pile on a sky-blue field a yellow sun in the first(Bleu celeste a pile reversed or in canton a sun-in-splendor of the same),
5e5aef1f8201264f9db8606b,House Leygood,The Reach,Tenny three thunderbolts in fess sable,
5e5aef1f8201264f9db8606c,House Liddle,The North,Per pale argent and vert a fir tree line between three brown pinecones on the argent,
5e5aef1f8201264f9db8606d,House Lightfoot,The North,Tenny a trail of footprints in bend sinister argent,
5e5aef1f8201264f9db8606e,House Lipps,The Vale,Two large pink lips on a dark blue field(Azure a pair of lips carnation),
5e5aef1f8201264f9db8606f,House Locke of Oldcastle,The North,Two bronze keys crossed on an argent pale on purpure.,
5e5aef1f8201264f9db86070,House Lolliston,The Riverlands,Three oaken barrels on a white field(Argent three oaken barrels proper),
5e5aef1f8201264f9db86071,House Long,The North,,
5e5aef1f8201264f9db86072,House Longthorpe of Longsister,The Vale,,
5e5aef1f8201264f9db86073,House Longwaters,The Crownlands,,
5e5aef1f8201264f9db86074,House Lonmouth,The Stormlands,Quartered of six: red lips strewn on a yellow field yellow skulls strewn on a black field(Quarterly of six first third and fifth or semé of lips gules second fourth and sixth sable semé of skulls of the first),The Choice is Yours
5e5aef1f8201264f9db86075,House Lorch,The Westerlands,A black manticore on a white field beneath a crimson chief with three gold coins(Argent a manticore passant sable on a chief gules three bezants),
5e5aef1f8201264f9db86076,House Lothston of Harrenhal,The Riverlands,"A black bat on a field per bend silver and gold(Per bend argent and or a bat displayed sable"")",
5e5aef1f8201264f9db86077,House Lowther,The Reach,A silver dolphin on a blue-green field,
5e5aef1f8201264f9db86078,House Lyberr,The Reach,Per bend sinister: a grey cat's face on black a brown jug on white,
5e5aef1f8201264f9db86079,House Lychester,The Riverlands,A black talon on an orange and white gyronny field(Gyronny tenné and argent an eagle's leg erased sable),
